Title,Cook Time,ServingSize,Ingredients,Cooking Instructions,Image Link,Nutrition Label,Host Link
Mary's Mexican Ranchero Salsa,30.0,6 serving(s),"['3 tablespoons corn oil', '3 medium ripe tomatoes', '5 medium jalapeno peppers, stemmed', '1 medium onion, diced', '1 cup water', 'salt to taste']","['Step 1: Heat a medium skillet over medium heat.\n', 'Step 2: Add oil to the hot skillet and place whole tomatoes and jalapenos in the pan.\n', 'Step 3: Cook, turning every 2 minutes, until all sides are scalded.\n', 'Step 4: Remove from the heat.\n', 'Step 5: Transfer tomatoes and jalapenos carefully to a blender and process until pureed.\n', 'Step 6: Cook and stir onion in the same skillet over medium heat until translucent, about 5 minutes.\n', 'Step 7: Add tomato-jalapeno puree and pour in water; bring to a simmer.\n', 'Step 8: Simmer until thickened, about 5 minutes.\n', 'Step 9: Season with salt and serve warm.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9178395.jpg,"{'calories': '82.7 calories', 'carbohydrateContent': '4.8 g', 'fatContent': '7.1 g', 'fiberContent': '1.4 g', 'proteinContent': '0.9 g', 'saturatedFatContent': '0.9 g', 'sodiumContent': '5.1 mg', 'sugarContent': '2.8 g'}",allrecipes.com
Uncle Tim's Mole Sauce,110.0,8 serving(s),"['4 red bell peppers', '4 tomatoes', '1 tablespoon corn oil', '1 tablespoon olive oil', '1 teaspoon ground black pepper', '1 teaspoon paprika', '1 teaspoon ground cloves', '1 teaspoon ground cinnamon', '¼ teaspoon cayenne pepper', '2 medium onions, chopped', '4 cloves garlic, chopped', '1 cup chicken broth', '¼ cup raisins', '2 tablespoons brown sugar', '½ cup coarsely chopped Mexican dark chocolate', 'salt to taste']","[""Step 1: Set oven rack about 6 inches from the heat source and preheat the oven's broiler.\n"", 'Step 2: Line a baking sheet with aluminum foil.\n', 'Step 3: n Cut the peppers in half from top to bottom.\n', 'Step 4: Place the peppers cut-sides down onto the prepared baking sheet.\n', 'Step 5: n Cook under the preheated broiler until the skin of the peppers has blackened and blistered, 5 to 8 minutes.\n', 'Step 6: Place the blackened peppers into a bowl and tightly seal with plastic wrap.\n', 'Step 7: Allow the peppers to steam as they cool, about 20 minutes.\n', 'Step 8: Remove and discard excess blackened skin and stems.\n', 'Step 9: Tear peppers with your hands and place in a bowl.\n', 'Step 10: n Cut the top off of each tomato around the stem.\n', ""Step 11: Scoop seeds and pulp out of each tomato and squeeze into a bowl to create a thick tomato 'juice'.\n"", 'Step 12: Chop tomatoes and place in a separate bowl.\n', 'Step 13: n Heat corn oil and olive oil together in a large pot over medium heat.\n', 'Step 14: Cook and stir black pepper, paprika, cloves, cinnamon, and cayenne pepper in hot oil until fragrant, about 30 seconds.\n', 'Step 15: n Stir onion and garlic into hot spiced oil; cook and stir until onion is softened, about 5 minutes.\n', ""Step 16: Pour tomato 'juice' into the pot and bring mixture to a boil while scraping the browned bits of food off of the bottom of the pot with a wooden spoon.\n"", 'Step 17: Add chopped tomatoes, chicken broth, raisins, and brown sugar.\n', 'Step 18: Bring to a simmer.\n', 'Step 19: n Reduce heat to low and add the chocolate; stir until chocolate melts.\n', 'Step 20: Add roasted peppers and stir.\n', 'Step 21: Bring sauce to a simmer and cook until flavors blend, at least 1 hour.\n', 'Step 22: n Pour sauce into a blender no more than half full.\n', 'Step 23: Cover and hold lid down; pulse a few times before leaving on to blend.\n', 'Step 24: Puree in batches until smooth.\n', 'Step 25: Return sauce to the pot and season with salt.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '138.3 calories', 'carbohydrateContent': '23.3 g', 'cholesterolContent': '0.6 mg', 'fatContent': '5.1 g', 'fiberContent': '3.5 g', 'proteinContent': '2.3 g', 'saturatedFatContent': '1.1 g', 'sodiumContent': '130.1 mg', 'sugarContent': '16.9 g'}",allrecipes.com
Pumpkin Tortilla Soup,110.0,10 serving(s),"['2 (10 ounce) cans diced tomatoes and green chiles (such as RO*TEL®)', '1 (15 ounce) can solid-pack pumpkin', '1 (14.5 ounce) can fire-roasted diced tomatoes', '1 medium onion, chopped', '¼ cup chopped fresh cilantro', '1 clove garlic, chopped', '5 cups low-sodium chicken broth', '4 cubes chicken bouillon', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1 teaspoon chili powder, or to taste', 'salt and ground black pepper to taste', '3 cups chopped cooked chicken', '12 (6 inch) corn tortillas', '3 tablespoons avocado oil', '½ cup shredded Monterey Jack cheese', '½ cup sour cream', '1 avocado, sliced', '1 lime, cut into wedges', '1 jalapeno pepper, sliced', '1 tablespoon chopped fresh cilantro, or to taste']","['Step 1: Place diced tomatoes with chiles, pumpkin, fire-roasted tomatoes, onion, cilantro, and garlic into the bowl of a food processor and puree until texture is uniformly smooth, 1 to 3 minutes.\n', 'Step 2: Pour pureed mixture into a 6-quart pot and add chicken broth, bouillon, cumin, coriander, chili powder, salt, and pepper.\n', 'Step 3: Bring to a boil over medium heat and continue to boil, stirring occasionally, 4 to 5 minutes.\n', 'Step 4: Reduce heat, cover, and let simmer, 45 to 60 minutes.\n', 'Step 5: Add chicken and simmer for 30 minutes more.\n', 'Step 6: Meanwhile, preheat the oven to 400 degrees F (200 degrees C).\n', 'Step 7: Line half sheet baking pans with parchment paper.\n', 'Step 8: Brush each tortilla with oil on each side, slice into 1/2-inch pieces, and spread onto the prepared baking sheets in a single layer.\n', 'Step 9: Bake in the preheated oven until lightly browned and crispy, about 10 minutes.\n', 'Step 10: Ladle soup into bowls, garnish with tortilla strips and Monterey Jack cheese.\n', 'Step 11: Top with sour cream, avocado, lime, jalapeno, and cilantro as desired.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7288049.jpg,"{'calories': '318.4 calories', 'carbohydrateContent': '27.1 g', 'cholesterolContent': '43.9 mg', 'fatContent': '15.9 g', 'fiberContent': '6.1 g', 'proteinContent': '18.8 g', 'saturatedFatContent': '4.8 g', 'sodiumContent': '1052.4 mg', 'sugarContent': '3.9 g'}",allrecipes.com
Candice's Butternut Squash Enchiladas,60.0,12 serving(s),"['1 butternut squash - peeled, halved lengthwise, and seeded', '¼ cup vegetable oil for frying, or as needed', '12 corn tortillas', '1 (28 ounce) can enchilada sauce', '½ teaspoon ground cinnamon', '½ teaspoon garlic salt', '½ teaspoon ground black pepper', '½ (15 ounce) can black beans, rinsed and drained', '⅓ cup chopped fresh cilantro', '1 cup shredded Colby-Jack cheese']","['Step 1: Place squash halves in a microwave-safe bowl and cover bowl with plastic wrap.\n', 'Step 2: Cook in microwave until flesh is very tender, 12 to 15 minutes.\n', 'Step 3: Pour about 1 inch of oil in a skillet and place over medium-low heat.\n', 'Step 4: Fry tortillas in oil until softened and lightly browned, about 10 seconds per side.\n', 'Step 5: Drain tortillas on paper towel-lined plates.\n', 'Step 6: Preheat oven to 325 degrees F (165 degrees C).\n', 'Step 7: Spread a thin layer of enchilada sauce into the bottom of a 9x13-inch baking dish.\n', 'Step 8: Sprinkle cinnamon, garlic salt, and black pepper over squash; mash until smooth.\n', 'Step 9: Stir black beans and cilantro into squash mixture until filling is well mixed.\n', 'Step 10: Place a tortilla in the bottom of the baking dish; spoon filling down the middle and roll tortilla around filling, keeping it seam-side down.\n', 'Step 11: Repeat with remaining tortillas and filling.\n', 'Step 12: Stack rolled tortillas on top of each other, if needed.\n', 'Step 13: Pour remaining enchilada sauce over tortillas and top with Colby-Jack cheese.\n', 'Step 14: Bake in the preheated oven until cheese is melted, 25 to 30 minutes.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '383.7 calories', 'carbohydrateContent': '58.9 g', 'cholesterolContent': '21.8 mg', 'fatContent': '12.5 g', 'fiberContent': '10.7 g', 'proteinContent': '13.9 g', 'saturatedFatContent': '5.9 g', 'sodiumContent': '829.8 mg', 'sugarContent': '5 g'}",allrecipes.com
Charred Corn and Black Bean Salsa,25.0,8 serving(s),"['1 cup corn', '1 large tomato, sliced', '1 jalapeno pepper, seeded and halved', '6 cloves garlic, halved', '2 teaspoons olive oil', '1 (15 ounce) can black beans, rinsed and drained', '1 (15 ounce) can fire-roasted tomatoes', '2 teaspoons chili powder', '1 teaspoon cumin', '1 teaspoon salt', '½ lime, juiced']","[""Step 1: Set an oven rack about 6 inches from the heat source and preheat the oven's broiler.\n"", 'Step 2: Place corn, sliced tomato, jalapeno pepper, garlic, and olive oil in a large bowl and toss to lightly coat.\n', 'Step 3: Spread oiled ingredients on a baking sheet.\n', 'Step 4: Broil in the preheated oven until vegetables begin to char, about 5 minutes.\n', 'Step 5: Remove from the oven and let cool slightly, about 5 minutes.\n', 'Step 6: Transfer charred ingredients to a food processor and add black beans, fire-roasted tomatoes, chili powder, cumin, salt, and lime juice; blend to desired consistency.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6800082.jpg,"{'calories': '102.6 calories', 'carbohydrateContent': '18.1 g', 'fatContent': '1.8 g', 'fiberContent': '5.3 g', 'proteinContent': '4.8 g', 'saturatedFatContent': '0.3 g', 'sodiumContent': '647.2 mg', 'sugarContent': '2.7 g'}",allrecipes.com
Fiesta Guacamole,75.0,4 serving(s),"['2 ripe avocados, halved and pitted', '¼ cup hot salsa', '1 tablespoon garlic powder', '¼ tablespoon chili powder', '1 ¼ teaspoons hot pepper sauce, or to taste', '½ cup mayonnaise']","['Step 1: Scoop avocado meat into a bowl and mash with a fork.\n', 'Step 2: Stir salsa, garlic powder, chili powder, and hot pepper sauce into mashed avocados.\n', 'Step 3: Spread mayonnaise over guacamole.\n', 'Step 4: Cover bowl with plastic wrap; chill in refrigerator for about 1 hour.\n', 'Step 5: Stir mayonnaise into guacamole just before serving.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F829280.jpg,"{'calories': '371.3 calories', 'carbohydrateContent': '12.3 g', 'cholesterolContent': '10.4 mg', 'fatContent': '36.7 g', 'fiberContent': '7.4 g', 'proteinContent': '2.9 g', 'saturatedFatContent': '5.4 g', 'sodiumContent': '304.4 mg', 'sugarContent': '2 g'}",allrecipes.com
Chocolate Atole,15.0,3 item(s),"['1 cup cold water', '¼ cup masa harina', '1 cup milk', '¼ teaspoon ground cinnamon', '½ cup evaporated milk', '1 (2 ounce) bar dark chocolate, chopped', '2 tablespoons brown sugar', '½ teaspoon vanilla extract']","['Step 1: Whisk water and masa harina together in a saucepan over medium heat.\n', 'Step 2: Cook, stirring constantly, until mixture comes to a boil.\n', 'Step 3: Add milk and cinnamon.\n', 'Step 4: Continue stirring until thick and bubbly.\n', 'Step 5: Add evaporated milk, chocolate, brown sugar, and vanilla extract.\n', 'Step 6: Cook and stir until chocolate and sugar are just melted, about 2 minutes.\n', 'Step 7: Remove from heat and pour into mugs.\n', 'Step 8: Serve hot.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F5a860997d98cba7436cfa72e850269c5%2F6370275.jpg,"{'calories': '268.9 calories', 'carbohydrateContent': '35.6 g', 'cholesterolContent': '19.6 mg', 'fatContent': '11.3 g', 'fiberContent': '2.6 g', 'proteinContent': '7.5 g', 'saturatedFatContent': '4 g', 'sodiumContent': '84.5 mg', 'sugarContent': '25.9 g'}",allrecipes.com
Mexican Hot Chocolate Brownie Tortes,57.0,8 serving(s),"['1 (18.25 ounce) package brownie mix (such as Betty Crocker®)', '½ cup vegetable oil', '2 eggs', '3 tablespoons water', '1 pint heavy whipping cream', '3 tablespoons sugar', '1 tablespoon ground cinnamon', '¼ teaspoon ground red chile pepper', '½ cup strong brewed coffee']","['Step 1: Preheat oven to 350 degrees F (175 degrees C).\n', 'Step 2: Grease the bottom of a 9x13-inch baking pan.\n', 'Step 3: Stir brownie mix, oil, eggs, and water together in a bowl until well blended.\n', 'Step 4: Pour batter into the pan.\n', 'Step 5: Bake in the preheated oven until a toothpick inserted into the center comes out clean, 22 to 25 minutes.\n', 'Step 6: Let brownies cool completely, at least 20 minutes.\n', 'Step 7: Beat cream in a bowl with an electric mixer until soft peaks form.\n', 'Step 8: Add sugar gradually, continuing to beat until fully incorporated.\n', 'Step 9: Beat in cinnamon and ground chile pepper.\n', 'Step 10: Cut brownies into an even number of circles using a cookie cutter.\n', 'Step 11: Poke small holes into brownies with a toothpick.\n', 'Step 12: Brush on coffee, making sure it seeps into the brownie.\n', 'Step 13: Spread cinnamon-chile whipped cream on top, cover with another brownie circle, and pipe or spread more whipped cream on top.\n', 'Step 14: Repeat with the remaining brownies and whipped cream.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F291441.jpg,"{'calories': '644.7 calories', 'carbohydrateContent': '56.7 g', 'cholesterolContent': '128 mg', 'fatContent': '46.5 g', 'fiberContent': '2.5 g', 'proteinContent': '5.4 g', 'saturatedFatContent': '17.9 g', 'sodiumContent': '236.6 mg', 'sugarContent': '4.9 g'}",allrecipes.com
Slow Cooker Meatless Taco Filling,130.0,4 serving(s),"['1 (15 ounce) can black beans, rinsed and drained', '1 (14 ounce) can refried beans', '1 cup water', '1 cup textured vegetable protein (TVP) granules', '1 cup salsa', '2 teaspoons chili powder', '1 ½ teaspoons dried minced onion', '1 teaspoon ground paprika', '¾ teaspoon vegetable bouillon', '¼ teaspoon white sugar', '¼ teaspoon cayenne pepper', '¼ teaspoon garlic powder', '⅛ teaspoon onion powder']","['Step 1: Combine black beans, refried beans, water, textured vegetable protein, salsa, chili powder, onion, paprika, bouillon, sugar, cayenne pepper, garlic powder, and onion powder in a slow cooker; stir until well mixed.\n', 'Step 2: Cover and cook on Low for 2 hours.\n', 'Step 3: Stir well and serve.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '350.8 calories', 'carbohydrateContent': '53.8 g', 'cholesterolContent': '7.8 mg', 'fatContent': '2.5 g', 'fiberContent': '23.3 g', 'proteinContent': '39.6 g', 'saturatedFatContent': '0.6 g', 'sodiumContent': '1111.1 mg', 'sugarContent': '9.9 g'}",allrecipes.com
JJ's Vegan Burritos,45.0,6 serving(s),"['1 tablespoon olive oil', '1 (15 ounce) can black beans, drained and rinsed', '1 red bell pepper, finely chopped', '1 small white onion, finely chopped', '2 jalapeno peppers, seeded and finely chopped, divided', '1 (1 ounce) package taco seasoning', '1 teaspoon salt', '1 bunch green onions, finely chopped', '⅓ cup fresh oregano leaves', '6 flour tortillas']","['Step 1: Preheat the oven to 425 degrees F (220 degrees C).\n', 'Step 2: Grease a large pie pan with olive oil.\n', 'Step 3: Combine black beans, bell pepper, onion, 1 jalapeno pepper, taco seasoning, and salt in a frying pan.\n', 'Step 4: Cook until juices are released, about 15 minutes.\n', 'Step 5: Remove from heat and mix in green onions, oregano, and remaining jalapeno pepper.\n', 'Step 6: Fill a tortilla with 1/6 of the black bean mixture and wrap into a burrito.\n', 'Step 7: Repeat with remaining tortillas and filling.\n', 'Step 8: Place burritos in the prepared pie pan.\n', 'Step 9: Bake in the preheated oven until crisp and slightly brown, about 10 minutes.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '352.7 calories', 'carbohydrateContent': '57.7 g', 'fatContent': '8.3 g', 'fiberContent': '8.8 g', 'proteinContent': '11.4 g', 'saturatedFatContent': '1.7 g', 'sodiumContent': '1470 mg', 'sugarContent': '4.5 g'}",allrecipes.com
