Title,Cook Time,ServingSize,Ingredients,Cooking Instructions,Image Link,Nutrition Label,Host Link
Braised Moroccan Chicken (D'jej Mhamar),115.0,8 serving(s),"['1 (6.75 ounce) package rice vermicelli', '2 tablespoons raisins', '4 tablespoons chopped fresh cilantro, divided', '3 cloves garlic, grated, divided', '1 teaspoon finely chopped preserved lemon rind', '¾ teaspoon ground ginger, divided', '1 dash ground turmeric', '1 pinch salt and ground black pepper to taste', '1 (2 1/2 to 3 pound) whole chicken', '¼ preserved lemon', '¼ cup vegetable oil', '1 onion, grated', '1 teaspoon salt', '½ teaspoon ground black pepper', '¼ teaspoon ground cinnamon', '¼ teaspoon ground turmeric', '4 cups water, or as needed', '4 threads saffron threads, or more to taste', '1 cup large pitted green olives, rinsed']","['Step 1: Soak vermicelli noodles in hot water until softened, about 15 minutes.\n', 'Step 2: Drain and add raisins, 1 tablespoon cilantro, 1 clove grated garlic, 1 teaspoon chopped preserved lemon, 1/4 teaspoon ginger, 1 dash turmeric, salt, and pepper.\n', 'Step 3: Clean the chicken, keeping the skin intact.\n', 'Step 4: Stuff with the prepared vermicelli.\n', 'Step 5: Tie legs closed with kitchen string.\n', 'Step 6: Remove seeds from preserved lemon and cut into 2 or 3 pieces.\n', 'Step 7: Heat oil in a stock pot over medium heat.\n', 'Step 8: Add grated onion, preserved lemon, remaining 3 tablespoons cilantro, remaining 3 cloves garlic, 1 teaspoon salt, 1/2 teaspoon black pepper, remaining 1/2 teaspoon ginger, cinnamon, and 1/4 teaspoon turmeric.\n', 'Step 9: Stir together over medium heat.\n', ""Step 10: Add chicken and fry, being sure it doesn't stick and break the skin, about 2 minutes on each side.\n"", 'Step 11: Add enough water that the chicken is about half immersed.\n', 'Step 12: Add saffron.\n', 'Step 13: Cook until chicken is no longer pink in the center, 30 to 40 minutes, checking water level occasionally.\n', 'Step 14: Add olives about 15 minutes before the chicken is finished.\n', 'Step 15: An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 165 degrees F (74 degrees C).\n', 'Step 16: Remove the chicken to a plate and reduce the sauce until it is thick, 10 to 15 minutes.\n', 'Step 17: Pat the chicken dry and remove kitchen string; place in a baking dish.\n', ""Step 18: Set an oven rack about 6 inches from the heat source and preheat the oven's broiler.\n"", 'Step 19: Broil chicken in the preheated oven, turning as needed, until skin is darkened and crisp, about 5 minutes total.\n', 'Step 20: Spread the sauce on a platter and place chicken on top.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '386.1 calories', 'carbohydrateContent': '23.7 g', 'cholesterolContent': '66.2 mg', 'fatContent': '21.1 g', 'fiberContent': '1.8 g', 'proteinContent': '24.7 g', 'saturatedFatContent': '4.7 g', 'sodiumContent': '1219.1 mg', 'sugarContent': '3.5 g'}",allrecipes.com
Dersa (Algerian Chile Paste),15.0,4 serving(s),"['4 cloves garlic - peeled, halved, and germ (green sprout) removed', '½ small red chile pepper, seeded and coarsely chopped', '1 teaspoon ground cumin', '1 teaspoon paprika', '½ teaspoon cayenne pepper', '½ teaspoon salt', '½ teaspoon ground black pepper', '2 tablespoons olive oil']","['Step 1: Place garlic, chile pepper, cumin, paprika, cayenne pepper, salt, and pepper in a mortar; grind into a paste using a pestle.\n', 'Step 2: Pour in olive oil and mix well.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7168966.jpg,"{'calories': '70.1 calories', 'carbohydrateContent': '2.1 g', 'fatContent': '7 g', 'fiberContent': '0.5 g', 'proteinContent': '0.5 g', 'saturatedFatContent': '1 g', 'sodiumContent': '292.8 mg', 'sugarContent': '0.3 g'}",allrecipes.com
Moroccan-Spiced Roasted Carrots,40.0,6 serving(s),"['2 pounds carrots, cut into thick slices', '¼ cup olive oil', '2 tablespoons lemon juice', '2 teaspoons white sugar', '1 teaspoon ground cumin', '½ teaspoon ground cinnamon', '½ teaspoon garlic powder', '⅛ teaspoon cayenne pepper, or to taste', 'aluminum foil']","['Step 1: Preheat the oven to 450 degrees F (230 degrees C).\n', 'Step 2: Toss carrots in a bowl with olive oil, lemon juice, sugar, cumin, cinnamon, garlic powder, and cayenne pepper.\n', 'Step 3: Transfer to a large roasting pan and arrange in a single layer.\n', 'Step 4: Roast in the preheated oven, turning often, 20 to 30 minutes.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7790862.jpg,"{'calories': '150.9 calories', 'carbohydrateContent': '16.8 g', 'fatContent': '9.5 g', 'fiberContent': '4.4 g', 'proteinContent': '1.5 g', 'saturatedFatContent': '1.3 g', 'sodiumContent': '105.3 mg', 'sugarContent': '8.8 g'}",allrecipes.com
Instant Pot® Lamb Tagine with Lentils,75.0,6 serving(s),"['2 tablespoons ghee (clarified butter)', '1 onion', '1 pound cubed lamb stew meat', '2 large tomatoes, diced', '1 ½ cups diced potatoes', '2 cloves garlic, minced', '1 teaspoon salt', '½ teaspoon ground black pepper', '½ teaspoon ground cumin', '½ teaspoon ground coriander', '½ teaspoon ground turmeric', '½ teaspoon ground cinnamon', '½ teaspoon ground ginger', '½ teaspoon paprika', '1 teaspoon chili flakes', '2 tablespoons tomato paste', '2 cups chicken broth', '1 cup dry lentils', '⅓ cup raisins, or more to taste', '2 tablespoons honey', '1 pinch salt and ground black pepper to taste']","['Step 1: Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function.\n', 'Step 2: Add ghee.\n', 'Step 3: Add onions and cubed lamb to the melted ghee; cook and stir until lamb is browned and onion is soft and translucent, 5 to 7 minutes.\n', 'Step 4: Stir in tomatoes, potatoes, and garlic.\n', 'Step 5: Cook for 2 more minutes.\n', 'Step 6: Mix in salt, pepper, cumin, coriander, turmeric, cinnamon, ginger, paprika, and chili flakes.\n', 'Step 7: Stir in tomato paste.\n', 'Step 8: Add chicken broth, lentils, raisins, and honey; stir until all ingredients are well combined.\n', 'Step 9: Turn Saute mode off.\n', 'Step 10: Close and lock the lid.\n', ""Step 11: Set vent to 'Sealing' and select Meat/Stew mode according to manufacturer's instructions; set timer for 30 minutes.\n"", 'Step 12: Allow 10 to 15 minutes for pressure to build.\n', ""Step 13: Release pressure using the natural-release method according to manufacturer's instructions, for 10 minutes.\n"", ""Step 14: Turn vent and release remaining pressure carefully using the quick-release method according to manufacturer's instructions.\n"", 'Step 15: Season with salt and pepper, if needed.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6957765.jpg,"{'calories': '400.8 calories', 'carbohydrateContent': '46.7 g', 'cholesterolContent': '56.3 mg', 'fatContent': '14.6 g', 'fiberContent': '13.2 g', 'proteinContent': '22.3 g', 'saturatedFatContent': '6.7 g', 'sodiumContent': '849.2 mg', 'sugarContent': '15.7 g'}",allrecipes.com
Mommy Bart-Williams' Spinach Leaves,75.0,6 serving(s),"['2 onions, chopped', '1 green bell pepper, cut into chunks', '¼ habanero pepper, or more to taste', '3 tablespoons light virgin palm oil', '½ cup water', '1 tablespoon peanut butter, or more to taste', '2 cubes chicken bouillon', '1 teaspoon salt', '2 bunches fresh spinach, cut into thin strips']","['Step 1: Blend onions, green bell pepper, habanero pepper, and oil in a blender until creamy.\n', 'Step 2: Transfer the onion mixture to a stock pot.\n', 'Step 3: Add water, peanut butter, bouillon cubes, and salt to the onion mixture.\n', 'Step 4: Place a cover on the stock pot and bring the mixture to a boil; cook at a boil for 30 minutes.\n', 'Step 5: Stir the spinach into the boiling mixture; replace the cover on the stock pot and cook until the water has evaporated a bit and the sauce has the consistency of gravy, about 30 minutes more.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '139.6 calories', 'carbohydrateContent': '13 g', 'cholesterolContent': '0.2 mg', 'fatContent': '8.8 g', 'fiberContent': '4.3 g', 'proteinContent': '5.2 g', 'saturatedFatContent': '3.8 g', 'sodiumContent': '877.8 mg', 'sugarContent': '4.4 g'}",allrecipes.com
Lamb Merguez Sausage Patties,20.0,4 serving(s),"['1 teaspoon salt', '¼ teaspoon fennel seeds', '1 teaspoon ground cumin', '½ teaspoon ground cinnamon', '½ teaspoon ground coriander', '¼ teaspoon ground turmeric', '3 cloves garlic, peeled', '2 tablespoons harissa, or to taste (see Ingredient note)', '1 tablespoon tomato paste', '1 pound lean ground lamb', '1 tablespoon olive oil']","['Step 1: Combine salt and fennel seeds in a mortar and pestle and pound until fine.\n', 'Step 2: Stir cumin, cinnamon, coriander, turmeric, and garlic cloves into the salt mixture and continue grinding to form a thick paste.\n', 'Step 3: Stir in harissa sauce and tomato paste until combined.\n', 'Step 4: Combine ground lamb and the spice paste together with a fork in a large bowl.\n', 'Step 5: Cover and refrigerate overnight.\n', 'Step 6: Form sausage into patties.\n', 'Step 7: Heat olive oil in a large skillet over medium-high heat.\n', 'Step 8: Cook patties until no longer pink inside, 5 to 8 minutes per side, depending on the size of the patties.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4541392.jpg,"{'calories': '267.7 calories', 'carbohydrateContent': '2.8 g', 'cholesterolContent': '75.9 mg', 'fatContent': '19.2 g', 'fiberContent': '0.6 g', 'proteinContent': '19.9 g', 'saturatedFatContent': '6.8 g', 'sodiumContent': '718.4 mg', 'sugarContent': '0.5 g'}",allrecipes.com
Moroccan Couscous with Rhubarb,35.0,4 serving(s),"['1 tablespoon vegetable oil', '1 medium onion, chopped', '½ cup chopped dried apricots', '½ cup finely chopped rhubarb', '1 cup couscous', '1 ¼ cups chicken stock', '½ teaspoon salt', '½ teaspoon ground cumin', '¼ teaspoon ground ginger', '¼ teaspoon ground cardamom', '¼ teaspoon ground allspice', '¼ teaspoon ground cinnamon', '⅛ teaspoon ground cayenne pepper', '1 pinch ground cloves']","['Step 1: Heat oil in a saucepan over medium heat.\n', 'Step 2: Add onion and cook until soft and translucent, about 5 minutes.\n', 'Step 3: Stir in apricots and rhubarb.\n', 'Step 4: Cook for 2 more minutes.\n', 'Step 5: Mix in couscous, chicken stock, salt, cumin, ginger, cardamom, allspice, cinnamon, cayenne, and cloves - mixture will be thick.\n', 'Step 6: Stir and bring to a boil.\n', 'Step 7: Cover and remove from heat.\n', 'Step 8: Let sit for 10 minutes until all the liquid is absorbed.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6700025.jpg,"{'calories': '253.1 calories', 'carbohydrateContent': '47.9 g', 'cholesterolContent': '0.2 mg', 'fatContent': '4.2 g', 'fiberContent': '4.4 g', 'proteinContent': '6.8 g', 'saturatedFatContent': '0.6 g', 'sodiumContent': '513.8 mg', 'sugarContent': '10.2 g'}",allrecipes.com
Fried Cauliflower (Egyptian Style),30.0,4 serving(s),"['2 teaspoons ground cumin', '1 head cauliflower, cut into florets', '1 cup all-purpose flour', '1 egg', '2 cloves garlic', '1 teaspoon ground cumin', '1 tablespoon tomato paste', 'salt to taste', '¼ cup milk, or as needed', '2 cups vegetable oil, or as needed']","['Step 1: Fill a large pot with lightly salted water and bring to a rolling boil; add 2 teaspoons cumin to boiling water.\n', 'Step 2: Cook cauliflower florets, working in batches, in the boiling water until cooked but still crisp, 1 to 2 minutes.\n', 'Step 3: Remove with a slotted spoon and cool on a plate.\n', 'Step 4: Blend flour, egg, garlic, 1 teaspoon cumin, tomato paste, and salt in a blender or food processor until smooth; thin with milk as needed.\n', 'Step 5: Heat oil in a deep skillet to about 350 degrees F (175 degrees C).\n', 'Step 6: Dip cauliflower florets in the batter; fry battered cauliflower in the hot oil, working in batches, until cauliflower is golden and crispy, 6 to 8 minutes.\n', 'Step 7: Remove with a slotted spoon and drain on a paper towel-lined plate.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6734595.jpg,"{'calories': '283.9 calories', 'carbohydrateContent': '34.2 g', 'cholesterolContent': '47.7 mg', 'fatContent': '13.4 g', 'fiberContent': '4.8 g', 'proteinContent': '8.7 g', 'saturatedFatContent': '2.1 g', 'sodiumContent': '102.5 mg', 'sugarContent': '4.9 g'}",allrecipes.com
Vegan Moroccan-Style Tagine with Seitan,55.0,6 serving(s),"['1 (10 ounce) package seitan', '2 tablespoons vegan butter', '2 tablespoons ras el hanout', '1 teaspoon olive oil, or as needed', '1 medium onion, chopped', '4 cloves garlic, minced', '1 large sweet potato, cut into 1/4-inch cubes', '1 (15 ounce) can chickpeas', '1 (14.5 ounce) can diced tomatoes', '⅓ cup pitted green olives, chopped', '¼ cup golden raisins', '¼ cup chopped dried apricots', '1 pinch cayenne pepper, or to taste', '1 pinch ground cumin, or to taste', '1 pinch ground coriander, or to taste', '1 pinch ground cinnamon, or to taste', '3 cups vegetable broth, or more as needed', '½ medium lemon, zested and juiced', '1 tablespoon chopped fresh parsley, or to taste']","['Step 1: Break seitan apart into pieces.\n', 'Step 2: Rub pieces in vegan margarine and then in ras el hanout.\n', 'Step 3: Heat olive oil in a Dutch oven over medium-high heat.\n', 'Step 4: Add the seasoned seitan and saute until browned and crusty bits form on the bottom of the pan, 5 to 7 minutes.\n', 'Step 5: Add onion and saute over medium heat until softened, 3 to 5 minutes.\n', 'Step 6: Add garlic and cook and stir for 1 to 2 minutes.\n', 'Step 7: Stir in sweet potato, chickpeas, tomatoes, olives, raisins, apricots, cayenne, cumin, coriander, and cinnamon.\n', 'Step 8: Pour in enough vegetable broth to cover the mixture; bring to a boil.\n', 'Step 9: Reduce heat and simmer until sweet potatoes are soft, about 20 minutes.\n', 'Step 10: Stir in lemon zest and juice.\n', 'Step 11: Top with parsley and serve.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '319.5 calories', 'carbohydrateContent': '48.4 g', 'fatContent': '7.6 g', 'fiberContent': '7.8 g', 'proteinContent': '16.6 g', 'saturatedFatContent': '1.6 g', 'sodiumContent': '876.9 mg', 'sugarContent': '14.1 g'}",allrecipes.com
Vegan Moroccan Couscous with Raisins and Vegetables,90.0,8 serving(s),"['3 tablespoons extra-virgin olive oil', '2 large onions, chopped', '4 cloves garlic, chopped, divided', '4 teaspoons ground cumin', '1 teaspoon chile powder', '½ teaspoon ground cinnamon', '½ teaspoon ground turmeric', '½ teaspoon ground cloves', '½ teaspoon ground coriander', '½ teaspoon ground ginger', '6 cups vegetable stock', '1 (14.5 ounce) can diced tomatoes', '½ pound pumpkin, cut into chunks', '1 small sweet potato, cut into chunks', '2 stalks celery, sliced', '1 carrot, cut into chunks', '1 turnip, cut into chunks', '3 ½ ounces fresh green beans, cut into 1/2 inch pieces', 'salt and freshly ground black pepper to taste', '1 zucchini, cut into chunks', '1 (14 ounce) can garbanzo beans, drained', '10 ½ ounces couscous', '1 cup raisins', '1 cup boiling water', '2 tablespoons chopped fresh cilantro', '1 tablespoon lemon juice', '1 teaspoon ground cumin', '2 teaspoons hot chile sauce', '1 tablespoon orange flower water, or more to taste', '1 pinch ground cinnamon']","['Step 1: Heat olive oil in a large stockpot over medium heat.\n', 'Step 2: Add onions and 1/2 of the garlic and cook until slightly softened, about 5 minutes.\n', 'Step 3: Stir in cumin, chile powder, cinnamon, turmeric, cloves, coriander, and ginger and cook for a few seconds.\n', 'Step 4: Add vegetable stock, tomatoes with their juice, pumpkin, sweet potato, celery, carrot, turnip, and green beans.\n', 'Step 5: Season with salt and pepper.\n', 'Step 6: Bring to a boil, reduce heat, and simmer until vegetables are just tender, 15 to 20 minutes.\n', 'Step 7: Stir in remaining garlic, zucchini, and garbanzo beans.\n', 'Step 8: Cook until vegetables are very tender, about 15 minutes.\n', 'Step 9: Meanwhile, combine couscous and raisins in a large bowl and cover with boiling water.\n', 'Step 10: Mix well to moisten the couscous.\n', 'Step 11: Set aside to soak for 5 minutes.\n', 'Step 12: Ladle 2 cups of cooking liquid from the vegetable stew over the couscous mixture.\n', 'Step 13: Cover and set aside to soak for 10 minutes.\n', 'Step 14: Cover stew to keep warm.\n', 'Step 15: Ladle 1 1/4 cups hot cooking liquid from the vegetables into a bowl.\n', 'Step 16: Stir in cilantro, lemon juice, and cumin.\n', 'Step 17: Add chile sauce.\n', 'Step 18: Reheat stew if necessary.\n', 'Step 19: Fluff up couscous with a fork and mound on a platter or large bowl.\n', 'Step 20: Sprinkle with orange flower water and cinnamon.\n', 'Step 21: Ladle some of the vegetable stew over the couscous and serve the rest separately.\n', 'Step 22: Serve with the chile sauce mixture on the side.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '394.8 calories', 'carbohydrateContent': '75 g', 'fatContent': '6.9 g', 'fiberContent': '8.8 g', 'proteinContent': '10.9 g', 'saturatedFatContent': '0.9 g', 'sodiumContent': '590.7 mg', 'sugarContent': '19.7 g'}",allrecipes.com
